window_index,window_start_minute,record_count,record_id,text
1,2025-01-01T00:00:00+00:00,44,[record28],"2024 is 100% complete! Thank you all for following, and have a nice 2025! https://t.co/CMrSGrWyCY"
1,2025-01-01T00:00:00+00:00,44,[record29],https://t.co/TFlvtVgH69
1,2025-01-01T00:00:00+00:00,44,[record30],"Happy New Year, CROFam! 🎉

🧱 2024 was a year of building and innovating, block by block.

💪 Every milestone — from performance upgrades to global partnerships was fueled by your energy and dedication.

✨ 2025 begins with a bold vision of AI agents leading a smarter, more https://t.co/cXPho9p7KD"
1,2025-01-01T00:00:00+00:00,44,[record31],"Happy New Year! 🎆 🐾

Here’s to a year filled with big wins, small joys, and plenty of purr-fect moments 🥳

Thanks for being part of our journey - we can’t wait to see what we’ll achieve together in 2025. 

Drop your wishes for the new year below! ✨ 🐱 https://t.co/Rk1ORzn2S8"
1,2025-01-01T00:00:00+00:00,44,[record32],"🎇🥂 New Year, New Magic! 🥂 🎇

Happy New Year from Magic Square. Thank you for being part of our journey! 🪄 💜 https://t.co/UlDqmz5EWY"
1,2025-01-01T00:00:00+00:00,44,[record33],RT @year_progress: 2025 is 0% complete. https://t.co/ViSf3SpTPR
1,2025-01-01T00:00:00+00:00,44,[record34],"THANK YOU TO EVERYONE ALL OVER THE WORLD THAT CELEBRATED 10 YEARS OF #ROLLINGLOUD WITH US IN 2024 🌎

STAY SAFE AND HAPPY NEW YEAR! #RL10Years https://t.co/xX2emIifE0"
1,2025-01-01T00:00:00+00:00,44,[record35],Happy New Year!
1,2025-01-01T00:00:00+00:00,44,[record36],"When you’re done praying , GRIND."
1,2025-01-01T00:00:00+00:00,44,[record37],"men want to meet up too easily, what if i plan to sacrifice you?"
1,2025-01-01T00:00:00+00:00,44,[record38],"上一次牛市我在山寨币上做了45倍收益

我研究了400个代币，找到了最好的分析方法

鲸鱼们肯定会恨我分享这个方法的 🧵👇 https://t.co/ny8DAULTfW"
1,2025-01-01T00:00:00+00:00,44,[record39],"when it comes to mindshare, @aixbt_agent is in a league of its own—no one, human or agent, even comes close. 

one top of that, it's got countless ways to generate $$$ in an attention driven market. just to access aixbt's terminal? that'll run you $400k! 

higher https://t.co/vsKuYxxMrv"
1,2025-01-01T00:00:00+00:00,44,[record40],"@BuildOnViction @Dune @LunarCrush 利用 @Dropstab_com，深入研究价格走势、看涨的可能性和投资者情况

给定目前的熊市条件，预测上涨趋势或有利的价格数据是不容易的

然而，一流的投资者参与和十倍的价格… https://t.co/YLDvpn9phH"
1,2025-01-01T00:00:00+00:00,44,[record41],"@BuildOnViction @Dune @LunarCrush @Dropstab_com 只用这三个工具，你就有能力对任何项目进行全面研究

Viction展现出令人印象深刻的数据和巨大的增长前景，继续关注它

这里讨论的内容并不是金融建议，请务必自行进行研究。"
1,2025-01-01T00:00:00+00:00,44,[record42],Happy New Year from the team at NFT Plazas! Bring on 2025! 🎉 https://t.co/uZ7WJXsKEh
1,2025-01-01T00:00:00+00:00,44,[record43],"⛰️柴犬×新年初日の出×富士山×Walking DJ
皆でシェアして動物愛護に貢献しよう！
リポスト数に応じて、殺処分ゼロを目指す動物愛護団体に寄付します。
柴犬たちと富士山の絶景コラボを楽しみながら、支援の輪を広げてください！
——
⛰️Shiba Inu × New Year’s Sunrise × Mt. Fuji × Walking DJ
Let’s https://t.co/6dsQzyBV61"
1,2025-01-01T00:00:00+00:00,44,[record44],Animation by the goat @aalasady_
